,filename,mean,sd,dim
0,synonym-list-N-1,0.4543856337485682,0.19098576513389273,50
1,synonym-list-N-1,0.39547433223290146,0.1747223495835821,100
2,synonym-list-N-1,0.37768654734968454,0.16508295937457118,200
3,synonym-list-N-1,0.31523277962420265,0.17300349004900742,300
4,synonym-list-N-2,0.5768653068372044,0.18739367997740541,50
5,synonym-list-N-2,0.5189682516894465,0.1995131275242036,100
6,synonym-list-N-2,0.4804291038419516,0.20643832854307276,200
7,synonym-list-N-2,0.4176440453838846,0.21332168782334845,300
8,synonym-list-N-3,0.31813292572319096,0.22621356589356367,50
9,synonym-list-N-3,0.22354573613635612,0.23357490011422646,100
10,synonym-list-N-3,0.1882371656880785,0.2002275143559233,200
11,synonym-list-N-3,0.1451058552867442,0.17796441080609038,300
12,synonym-list-N-4,0.45980564935201124,0.18686860816087653,50
13,synonym-list-N-4,0.3807553110113067,0.1602314834232081,100
14,synonym-list-N-4,0.3275360742118415,0.1606367068260438,200
15,synonym-list-N-4,0.28345672332812133,0.14258358502607993,300
16,synonym-list-N-5,0.4665350240044872,0.2716020332198625,50
17,synonym-list-N-5,0.43099777104174547,0.25089243382099724,100
18,synonym-list-N-5,0.387672880089046,0.2427953822088072,200
19,synonym-list-N-5,0.31663819385556874,0.2401978282712183,300
